COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
Beaver,53288,4200753288,New Brighton borough,6025,5058,644,17,9,1,8,288,91,5729,4451,643,27,12,5,53,538,139,-296,-607,-1,10,3,4,45,250,48,-4.90%,-12.00%,-0.20%,58.80%,33.30%,400.00%,562.50%,86.80%,52.70%
Beaver,53592,4200753592,New Galilee borough,379,363,9,0,0,0,3,4,8,330,303,2,0,0,0,2,23,5,-49,-60,-7,0,0,0,-1,19,-3,-12.90%,-16.50%,-77.80%,,,,-33.30%,475.00%,-37.50%
Beaver,54072,4200754072,New Sewickley township,7360,7236,24,3,37,2,3,55,33,7183,6836,25,2,19,2,16,283,81,-177,-400,1,-1,-18,0,13,228,48,-2.40%,-5.50%,4.20%,-33.30%,-48.60%,0.00%,433.30%,414.50%,145.50%
Beaver,55400,4200755400,North Sewickley township,5488,5373,38,7,13,0,11,46,48,5495,5221,44,3,13,1,29,184,77,7,-152,6,-4,0,1,18,138,29,0.10%,-2.80%,15.80%,-57.10%,0.00%,,163.60%,300.00%,60.40%
Beaver,56432,4200756432,Ohioville borough,3533,3444,40,9,6,0,3,31,34,3349,3110,37,5,9,5,14,169,66,-184,-334,-3,-4,3,5,11,138,32,-5.20%,-9.70%,-7.50%,-44.40%,50.00%,,366.70%,445.20%,94.10%
Beaver,58384,4200758384,Patterson Heights borough,636,616,5,0,1,0,4,10,16,639,583,18,5,5,0,5,23,22,3,-33,13,5,4,0,1,13,6,0.50%,-5.40%,260.00%,,400.00%,,25.00%,130.00%,37.50%
Beaver,58375,4200758375,Patterson township,3029,2904,63,2,16,0,10,34,48,3129,2817,59,2,29,0,20,202,66,100,-87,-4,0,13,0,10,168,18,3.30%,-3.00%,-6.30%,0.00%,81.30%,,100.00%,494.10%,37.50%
Beaver,62352,4200762352,Potter township,548,541,3,0,1,0,0,3,4,520,489,0,1,1,2,0,27,8,-28,-52,-3,1,0,2,0,24,4,-5.10%,-9.60%,-100.00%,,0.00%,,,800.00%,100.00%
Beaver,62888,4200762888,Pulaski township,1500,1385,63,0,1,0,5,46,23,1300,1129,44,0,0,1,17,109,32,-200,-256,-19,0,-1,1,12,63,9,-13.30%,-18.50%,-30.20%,,-100.00%,,240.00%,137.00%,39.10%
Beaver,63224,4200763224,Raccoon township,3064,3007,18,5,7,0,13,14,34,2793,2644,18,9,11,0,7,104,31,-271,-363,0,4,4,0,-6,90,-3,-8.80%,-12.10%,0.00%,80.00%,57.10%,,-46.20%,642.90%,-8.80%
Beaver,65392,4200765392,Rochester borough,3657,2864,588,7,3,1,5,189,64,3472,2540,565,9,9,1,48,300,90,-185,-324,-23,2,6,0,43,111,26,-5.10%,-11.30%,-3.90%,28.60%,200.00%,0.00%,860.00%,58.70%,40.60%
Beaver,65400,4200765400,Rochester township,2802,2666,85,2,4,0,0,45,20,2711,2403,124,7,8,0,16,153,45,-91,-263,39,5,4,0,16,108,25,-3.20%,-9.90%,45.90%,250.00%,100.00%,,,240.00%,125.00%
Beaver,70376,4200770376,Shippingport borough,214,202,3,0,0,0,0,9,0,160,152,2,0,0,0,0,6,0,-54,-50,-1,0,0,0,0,-3,0,-25.20%,-24.80%,-33.30%,,,,,-33.30%,
Beaver,71952,4200771952,South Beaver township,2717,2660,24,6,5,0,3,19,15,2680,2522,22,5,5,1,11,114,37,-37,-138,-2,-1,0,1,8,95,22,-1.40%,-5.20%,-8.30%,-16.70%,0.00%,,266.70%,500.00%,146.70%
Beaver,72216,4200772216,South Heights borough,475,461,9,0,0,0,0,5,6,384,363,3,0,1,0,0,17,0,-91,-98,-6,0,1,0,0,12,-6,-19.20%,-21.30%,-66.70%,,,,,240.00%,-100.00%
Beaver,79856,4200779856,Vanport township,1321,1277,21,1,6,0,0,16,10,1295,1212,21,1,10,2,4,45,22,-26,-65,0,0,4,2,4,29,12,-2.00%,-5.10%,0.00%,0.00%,66.70%,,,181.30%,120.00%
Beaver,83472,4200783472,West Mayfield borough,1239,1167,33,0,9,0,5,25,17,1195,1092,32,4,4,1,9,53,28,-44,-75,-1,4,-5,1,4,28,11,-3.60%,-6.40%,-3.00%,,-55.60%,,80.00%,112.00%,64.70%
Beaver,84444,4200784444,White township,1394,1208,123,2,11,0,6,44,17,1316,1048,125,1,3,0,45,94,87,-78,-160,2,-1,-8,0,39,50,70,-5.60%,-13.20%,1.60%,-50.00%,-72.70%,,650.00%,113.60%,411.80%
Butler,300,4201900300,Adams township,11652,11116,118,4,273,1,36,104,161,14844,13657,123,3,339,4,121,597,328,3192,2541,5,-1,66,3,85,493,167,27.40%,22.90%,4.20%,-25.00%,24.20%,300.00%,236.10%,474.00%,103.70%
Butler,860,4201900860,Allegheny township,641,557,74,0,4,0,0,6,11,620,558,38,1,2,0,3,18,3,-21,1,-36,1,-2,0,3,12,-8,-3.30%,0.20%,-48.60%,,-50.00%,,,200.00%,-72.70%
Butler,8096,4201908096,Brady township,1310,1283,5,8,6,0,1,7,11,1214,1123,0,3,9,1,6,72,20,-96,-160,-5,-5,3,1,5,65,9,-7.30%,-12.50%,-100.00%,-62.50%,50.00%,,500.00%,928.60%,81.80%
Butler,9528,4201909528,Bruin borough,524,516,0,4,2,0,0,2,10,423,409,0,0,0,0,0,14,5,-101,-107,0,-4,-2,0,0,12,-5,-19.30%,-20.70%,,-100.00%,-100.00%,,,600.00%,-50.00%
Butler,10000,4201910000,Buffalo township,7307,7157,31,6,53,2,10,48,58,7900,7495,26,11,72,0,24,272,82,593,338,-5,5,19,-2,14,224,24,8.10%,4.70%,-16.10%,83.30%,35.80%,-100.00%,140.00%,466.70%,41.40%
Butler,10464,4201910464,Butler city,13757,12874,372,34,66,5,101,305,331,13502,11787,470,56,78,11,166,934,459,-255,-1087,98,22,12,6,65,629,128,-1.90%,-8.40%,26.30%,64.70%,18.20%,120.00%,64.40%,206.20%,38.70%
Butler,10472,4201910472,Butler township,17248,16792,145,13,85,3,50,160,174,17230,16181,132,11,103,6,112,685,295,-18,-611,-13,-2,18,3,62,525,121,-0.10%,-3.60%,-9.00%,-15.40%,21.20%,100.00%,124.00%,328.10%,69.50%
Butler,10800,4201910800,Callery borough,394,380,0,0,2,0,1,11,2,364,346,1,0,3,0,1,13,3,-30,-34,1,0,1,0,0,2,1,-7.60%,-8.90%,,,50.00%,,0.00%,18.20%,50.00%
Butler,12024,4201912024,Center township,7898,7697,36,9,78,0,12,66,64,7899,7453,43,11,74,1,55,262,126,1,-244,7,2,-4,1,43,196,62,0.00%,-3.20%,19.40%,22.20%,-5.10%,,358.30%,297.00%,96.90%
Butler,12992,4201912992,Cherry township,1106,1077,3,2,4,0,3,17,7,1054,999,7,1,1,0,2,44,5,-52,-78,4,-1,-3,0,-1,27,-2,-4.70%,-7.20%,133.30%,-50.00%,-75.00%,,-33.30%,158.80%,-28.60%
Butler,13152,4201913152,Cherry Valley borough,66,65,1,0,0,0,0,0,0,60,53,1,0,0,0,1,5,0,-6,-12,0,0,0,0,1,5,0,-9.10%,-18.50%,0.00%,,,,,,
Butler,13440,4201913440,Chicora borough,1043,1032,2,0,3,0,1,5,4,916,875,0,2,1,0,3,35,6,-127,-157,-2,2,-2,0,2,30,2,-12.20%,-15.20%,-100.00%,,-66.70%,,200.00%,600.00%,50.00%
Butler,13936,4201913936,Clay township,2703,2674,0,10,5,0,4,10,19,2551,2431,5,6,3,0,10,96,29,-152,-243,5,-4,-2,0,6,86,10,-5.60%,-9.10%,,-40.00%,-40.00%,,150.00%,860.00%,52.60%
Butler,14048,4201914048,Clearfield township,2645,2621,7,4,2,0,1,10,7,2427,2338,1,1,2,0,7,78,20,-218,-283,-6,-3,0,0,6,68,13,-8.20%,-10.80%,-85.70%,-75.00%,0.00%,,600.00%,680.00%,185.70%
Butler,14320,4201914320,Clinton township,2864,2825,6,6,6,0,7,14,13,2907,2813,8,0,9,0,5,72,23,43,-12,2,-6,3,0,-2,58,10,1.50%,-0.40%,33.30%,-100.00%,50.00%,,-28.60%,414.30%,76.90%
Butler,15480,4201915480,Concord township,1505,1468,7,0,8,0,0,22,4,1409,1334,2,1,1,0,5,66,11,-96,-134,-5,1,-7,0,5,44,7,-6.40%,-9.10%,-71.40%,,-87.50%,,,200.00%,175.00%
Butler,15808,4201915808,Connoquenessing borough,528,521,0,1,3,0,0,3,0,668,631,0,0,5,0,0,32,5,140,110,0,-1,2,0,0,29,5,26.50%,21.10%,,-100.00%,66.70%,,,966.70%,
Butler,15816,4201915816,Connoquenessing township,4170,4104,2,6,34,0,3,21,17,4263,4069,3,5,17,1,19,149,41,93,-35,1,-1,-17,1,16,128,24,2.20%,-0.90%,50.00%,-16.70%,-50.00%,,533.30%,609.50%,141.20%
Butler,16920,4201916920,Cranberry township,28098,26535,351,26,777,6,107,296,446,33096,28980,640,58,1427,13,420,1558,992,4998,2445,289,32,650,7,313,1262,546,17.80%,9.20%,82.30%,123.10%,83.70%,116.70%,292.50%,426.40%,122.40%
Butler,19456,4201919456,Donegal township,1864,1843,9,1,2,1,0,8,7,1823,1765,1,0,2,0,3,52,8,-41,-78,-8,-1,0,-1,3,44,1,-2.20%,-4.20%,-88.90%,-100.00%,0.00%,-100.00%,,550.00%,14.30%
Butler,20904,4201920904,East Butler borough,732,710,3,0,0,2,5,12,7,764,731,3,0,0,0,5,25,11,32,21,0,0,0,-2,0,13,4,4.40%,3.00%,0.00%,,,-100.00%,0.00%,108.30%,57.10%
Butler,22128,4201922128,Eau Claire borough,316,314,1,0,0,0,0,1,0,307,297,0,0,2,0,2,6,1,-9,-17,-1,0,2,0,2,5,1,-2.80%,-5.40%,-100.00%,,,,,500.00%,
